ticker,event_id,ex_date,payment_date,value_per_share,source
ENGI11,B3-RI:d4bbbc18f1d1452046bad9ffa1d19d27,2017-02-23,2017-03-08,0.286,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D31:J31
ENGI11,B3-RI:52acd77e506562b7892f373e7ebaa405,2017-08-15,2017-09-01,0.28,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D33:J33
ENGI11,B3-RI:4d5456636907bfb058ffcaa665a0d30c,2018-03-01,2018-03-08,0.5,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D34:J34
ENGI11,B3-RI:6a609c60eb36b6f04dc365fde4a8d282,2018-08-15,2018-09-04,0.28,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D36:J36
ENGI11,B3-RI:c72ab6be290f3a6835ac9a573e5a6cef,2019-02-28,2019-03-11,0.65,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D37:J37
ENGI11,B3-RI:37fde908e95350cc0d890ffc82c6d594,2019-03-25,2019-04-10,0.15,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D38:J38
ENGI11,B3-RI:53d2505838bc7dd13f0e94aad400cc7f,2019-08-14,2019-08-23,0.28,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D40:J40
ENGI11,B3-RI:3ad1afb8f674675559bdeffcb0ff9059,2020-02-28,2020-04-03,0.32,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D41:J41
ENGI11,B3-RI:ae110f0403a7d1d83aa10f259c84e83f,2020-08-19,2020-08-26,0.28,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D43:J43
ENGI11,B3-RI:909525bb3cef15b4887d55bc77e10105,2021-03-22,2021-03-30,1.1,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D44:J44
ENGI11,B3-RI:daf84974a28c1d193befb41dfcfb420a,2021-08-18,2021-09-29,0.65,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D46:J46
ENGI11,B3-RI:0c1766ff11dfadb1bd9bdf69b555cca7,2022-01-03,2022-03-02,2.2,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D47:J47
ENGI11,B3-RI:3c10a669f9b375ac06ad0e62d961d65d,2022-08-24,2022-09-01,1.16,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D49:J49
ENGI11,B3-RI:75fa44d92112bee47ca22b6579f09b96,2023-03-22,2023-03-30,0.8,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D50:J50
ENGI11,B3-RI:838fbb5d48e5a53d65ce2755b36deef1,2023-08-16,2023-08-29,0.7,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D52:J52
ENGI11,B3-RI:28cdcd4a9c4e7c4ebf37bc8e2b45629e,2024-01-02,2024-01-12,1,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D53:J53
ENGI11,B3-RI:6350d44f7cfc0e816e91b76cb8d93959,2024-08-13,2024-08-28,1,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D55:J55
ENGI11,B3-RI:df3972eece3a8077a245ec9ba26fdd56,2025-02-26,2025-03-28,1.9,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D56:J56
ENGI11,B3-RI:1d3f41df2bf80a1816f5a954428833a8,2025-08-13,2025-09-26,1,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D58:J58
ENGI11,B3-RI:23db4f053939a028fc252b7a1981c3cc,2025-11-27,2025-12-19,0.70115532118,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D59:J59
ENGI11,B3-RI:b30c512f427e0b17b93cd58bea7c9727,2026-08-12,2026-08-24,0.5,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D61:J61
ABEV3,B3-RI:56264da0329791262d90d1cb70674517,2025-12-19,2026-04-06,0.075,B3 CVM 23264 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/c8182463-4b7e-408c-9d0f-42797662435e/24107927-8c3d-7046-8ae8-b2c677b4ed63?origin=2; source manifests in delivery; reconciliation 2026-09-07; Ambev S.A.!A42:G42
ABEV3,B3-RI:e8b039d57f25aa838a170cd84d5cb482,2025-12-19,2026-07-06,0.0755,B3 CVM 23264 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/c8182463-4b7e-408c-9d0f-42797662435e/24107927-8c3d-7046-8ae8-b2c677b4ed63?origin=2; source manifests in delivery; reconciliation 2026-09-07; Ambev S.A.!A43:G43
ABEV3,B3-RI:08baefcc7904ccab13117e2c23b105f0,2025-12-19,2026-10-06,0.1185,B3 CVM 23264 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/c8182463-4b7e-408c-9d0f-42797662435e/24107927-8c3d-7046-8ae8-b2c677b4ed63?origin=2; source manifests in delivery; reconciliation 2026-09-07; Ambev S.A.!A44:G44
